"YR","AL","NL","NA","FL","AA","UA","PL","NL-AL","NL-FL","AL-FL","NL-AA","NL-UA","NL-PL","AA-UA","AA-PL","NA-NL"
1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
1877,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,0,71,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1883,0,66,0,0,51,0,0,0,0,0,33,0,0,0,0,0
1884,0,71,0,0,82,0,0,0,0,0,26,23,0,35,0,0
1885,0,79,0,0,92,0,0,0,0,0,45,39,0,22,0,0
1886,0,95,0,0,84,0,0,0,0,0,19,0,0,0,0,0
1887,0,91,0,0,82,0,0,0,0,0,26,0,0,0,0,0
1888,0,103,0,0,94,0,0,0,0,0,12,0,0,0,0,0
1889,0,106,0,0,87,0,0,0,0,0,22,0,0,0,0,0
1890,0,36,0,0,46,0,0,0,0,0,44,0,80,0,28,0
1891,0,73,0,0,44,0,0,0,0,0,32,0,43,0,59,0
1892,0,100,0,0,0,0,0,0,0,0,76,0,0,0,0,0
1893,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1898,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,94,0,0,0,0,0,53,0,0,0,0,0,0,0,0
1902,78,83,0,0,0,0,0,62,0,0,0,0,0,0,0,0
1903,84,99,0,0,0,0,0,54,0,0,0,0,0,0,0,0
1904,103,95,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1905,112,112,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1906,118,108,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1907,123,112,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1908,118,117,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1909,129,121,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1910,131,130,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1911,129,117,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1912,120,124,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1913,132,135,0,0,0,0,0,9,0,0,0,0,0,0,0,0
1914,124,121,0,0,0,0,0,8,42,24,0,0,0,0,0,0
1915,128,122,0,123,0,0,0,7,16,10,0,0,0,0,0,0
1916,123,111,0,0,0,0,0,4,34,16,0,0,0,0,0,0
1917,143,126,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1918,112,114,0,0,0,0,0,9,0,0,0,0,0,0,0,0
1919,109,115,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1920,122,136,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1921,132,130,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1922,127,132,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1923,130,135,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1924,130,138,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1925,143,142,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1926,141,133,0,0,0,0,0,9,0,0,0,0,0,0,0,0
1927,139,134,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1928,133,139,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1929,131,135,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1930,131,131,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1931,146,131,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1932,139,135,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1933,139,144,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1934,129,130,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1935,131,126,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1936,131,131,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1937,134,127,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1938,140,141,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1939,137,130,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1940,138,138,0,0,0,0,0,16,0,0,0,0,0,0,0,0
1941,143,142,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1942,128,140,0,0,0,0,0,9,0,0,0,0,0,0,0,0
1943,111,119,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1944,127,115,0,0,0,0,0,14,0,0,0,0,0,0,0,0
1945,130,120,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1946,95,87,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1947,141,139,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1948,132,133,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1949,132,146,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1950,137,138,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1951,148,149,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1952,148,144,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1953,147,133,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1954,133,130,0,0,0,0,0,12,0,0,0,0,0,0,0,0
1955,135,127,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1956,147,135,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1957,150,139,0,0,0,0,0,12,0,0,0,0,0,0,0,0
1958,143,142,0,0,0,0,0,19,0,0,0,0,0,0,0,0
1959,151,151,0,0,0,0,0,21,0,0,0,0,0,0,0,0
1960,143,134,0,0,0,0,0,33,0,0,0,0,0,0,0,0
1961,157,147,0,0,0,0,0,35,0,0,0,0,0,0,0,0
1962,166,154,0,0,0,0,0,42,0,0,0,0,0,0,0,0
1963,171,173,0,0,0,0,0,45,0,0,0,0,0,0,0,0
1964,179,171,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1965,168,178,0,0,0,0,0,24,0,0,0,0,0,0,0,0
1966,175,181,0,0,0,0,0,24,0,0,0,0,0,0,0,0
1967,189,185,0,0,0,0,0,25,0,0,0,0,0,0,0,0
1968,181,172,0,0,0,0,0,33,0,0,0,0,0,0,0,0
1969,198,191,0,0,0,0,0,30,0,0,0,0,0,0,0,0
1970,223,213,0,0,0,0,0,35,0,0,0,0,0,0,0,0
1971,215,220,0,0,0,0,0,35,0,0,0,0,0,0,0,0
1972,209,221,0,0,0,0,0,45,0,0,0,0,0,0,0,0
1973,165,218,0,0,0,0,0,52,0,0,0,0,0,0,0,0
1974,173,208,0,0,0,0,0,43,0,0,0,0,0,0,0,0
1975,177,205,0,0,0,0,0,38,0,0,0,0,0,0,0,0
1976,163,229,0,0,0,0,0,35,0,0,0,0,0,0,0,0
1977,175,217,0,0,0,0,0,42,0,0,0,0,0,0,0,0
1978,197,211,0,0,0,0,0,40,0,0,0,0,0,0,0,0
1979,203,221,0,0,0,0,0,39,0,0,0,0,0,0,0,0
1980,205,211,0,0,0,0,0,39,0,0,0,0,0,0,0,0
1981,190,204,0,0,0,0,0,41,0,0,0,0,0,0,0,0
1982,195,202,0,0,0,0,0,37,0,0,0,0,0,0,0,0
1983,205,216,0,0,0,0,0,34,0,0,0,0,0,0,0,0
1984,208,224,0,0,0,0,0,31,0,0,0,0,0,0,0,0
1985,202,225,0,0,0,0,0,42,0,0,0,0,0,0,0,0
1986,204,209,0,0,0,0,0,32,0,0,0,0,0,0,0,0
1987,197,210,0,0,0,0,0,45,0,0,0,0,0,0,0,0
1988,200,220,0,0,0,0,0,55,0,0,0,0,0,0,0,0
1989,187,212,0,0,0,0,0,56,0,0,0,0,0,0,0,0
1990,200,217,0,0,0,0,0,49,0,0,0,0,0,0,0,0
1991,197,218,0,0,0,0,0,56,0,0,0,0,0,0,0,0
1992,195,218,0,0,0,0,0,56,0,0,0,0,0,0,0,0
1993,191,223,0,0,0,0,0,69,0,0,0,0,0,0,0,0
1994,190,229,0,0,0,0,0,51,0,0,0,0,0,0,0,0
1995,178,232,0,0,0,0,0,47,0,0,0,0,0,0,0,0
1996,185,231,0,0,0,0,0,87,0,0,0,0,0,0,0,0
1997,188,234,0,0,0,0,0,86,0,0,0,0,0,0,0,0
1998,174,247,0,0,0,0,0,93,0,0,0,0,0,0,0,0
1999,189,276,0,0,0,0,0,70,0,0,0,0,0,0,0,0
2000,183,284,0,0,0,0,0,86,0,0,0,0,0,0,0,0
2001,197,278,0,0,0,0,0,78,0,0,0,0,0,0,0,0
2002,188,255,0,0,0,0,0,90,0,0,0,0,0,0,0,0
2003,191,268,0,0,0,0,0,85,0,0,0,0,0,0,0,0
2004,176,254,0,0,0,0,0,103,0,0,0,0,0,0,0,0
