"YR","LG","hitting_talent","hitting_lg_eff"
"1",1871,"NA",-0.00836581714709883,0.0715830617558534
"2",1872,"NA",-0.0140813804213102,0.0249508601376823
"3",1873,"NA",-0.00444233096648077,0.0311097196488757
"4",1874,"NA",-0.0122080817456384,-0.00682336806573427
"5",1875,"NA",-0.031665853741106,-0.0436319212266434
"6",1876,"NL",-0.0102296303901428,-0.0257879984496699
"7",1877,"NL",0.0128099248140815,-0.0168587418803869
"8",1878,"NL",0.0096893312769308,-0.0402457523286187
"9",1879,"NL",0.0131121451561678,-0.0452055030179361
"10",1880,"NL",0.0240162762958598,-0.0736402443095357
"11",1881,"NL",0.0305628736962302,-0.03720957493985
"12",1882,"NL",0.0184346117315186,-0.0413276334683941
"13",1882,"AA",-0.042271052394822,-0.00424187267753499
"14",1883,"NL",0.021039270845489,-0.0137848530476041
"15",1883,"AA",-0.0314960939861504,0.00216379136218177
"16",1884,"AA",-0.0343209537079488,-0.00422187731466961
"17",1884,"UA",-0.0442708211931019,0.00559240073082681
"18",1884,"NL",-0.00337555412563196,-0.023495237539407
"19",1885,"NL",0.00350259956711509,-0.0534052713163416
"20",1885,"AA",-0.0186692678968586,-0.0141505819072405
"21",1886,"NL",0.00753682079402658,-0.0193046554300965
"22",1886,"AA",-0.00447757383571061,-0.0137400333952817
"23",1887,"AA",-0.00420670718819234,0.0515150054711735
"24",1887,"NL",0.0121091259187553,0.032767197273275
"25",1888,"AA",0.0017531110582953,-0.0386403453794745
"26",1888,"NL",0.0149964231800725,-0.0625075104805369
"27",1889,"AA",-0.00181030594890568,0.0303626889567632
"28",1889,"NL",0.0207404749321206,0.0155361768972595
"29",1890,"NL",0.000514759639326918,0.0123553301698657
"30",1890,"AA",-0.0350416300942539,0.0499772450971453
"31",1890,"PL",0.0194841700813792,0.0485311160155395
"32",1891,"AA",0.00410630641216526,0.0285859966981866
"33",1891,"NL",0.0350670581330833,-0.0232197079177773
"34",1892,"NL",0.0281140626852605,-0.0417222053721344
"35",1893,"NL",0.0281059230336724,0.0490610892131522
"36",1894,"NL",0.0233369150705046,0.130297139195461
"37",1895,"NL",0.0217239535225892,0.0785012945985835
"38",1896,"NL",0.0207449912109537,0.0581202612144909
"39",1897,"NL",0.0162521816627703,0.0564680347231533
"40",1898,"NL",0.0235056607134069,-0.00412781351634164
"41",1899,"NL",0.0160304406379654,0.0277656331277452
"42",1900,"NL",0.0325818724863067,-0.00276828712011472
"43",1901,"AL",0.000142532530849948,0.0415770524486111
"44",1901,"NL",0.0085319395079228,-0.0125664197640616
"45",1902,"AL",0.0127199963087452,0.0182049066271826
"46",1902,"NL",-0.00225168675691122,-0.0259831179100575
"47",1903,"NL",-0.0100179490171366,0.017504002856078
"48",1903,"AL",0.0111288294004751,-0.0267151158029228
"49",1904,"NL",-0.00983609818554092,-0.03339203758023
"50",1904,"AL",0.00418259169177072,-0.0592966331894934
"51",1905,"NL",-0.00647622973689891,-0.018675038722842
