"YR","LG","hitting_talent","tal_ssn_diff","tal_lg_diff","hitting_lg_eff","le_ssn_diff","le_lg_diff"
"13",1882,"AA",-0.286458280509705,"yes","yes",0.249385389813234,"no","yes"
"15",1883,"AA",-0.259159333862396,"yes","yes",0.245091368161144,"no","yes"
"16",1884,"AA",-0.277487388457293,"yes","yes",0.244888488451177,"yes","yes"
"20",1885,"AA",-0.246647163394753,"yes","yes",0.222727181528981,"yes","yes"
"22",1886,"AA",-0.214660716674221,"yes","no",0.21971879093405,"yes","no"
"23",1887,"AA",-0.22357806395709,"no","yes",0.284771744976298,"yes","yes"
"25",1888,"AA",-0.207368434449505,"no","no",0.189714862005541,"yes","yes"
"27",1889,"AA",-0.215182613812988,"yes","yes",0.260380760668963,"yes","yes"
"30",1890,"AA",-0.2713826225206,"yes","yes",0.294463701731154,"yes","yes"
"32",1891,"AA",-0.216374341140582,"yes","yes",0.253782579520491,"yes","yes"
"43",1901,"AL",-0.169544173110073,"no","no",0.235392069857429,"yes","yes"
"45",1902,"AL",-0.165774723054764,"no","yes",0.209628076685293,"yes","yes"
"48",1903,"AL",-0.164303466086532,"no","no",0.159929490749554,"yes","yes"
"50",1904,"AL",-0.1573199463053,"no","yes",0.125141001474608,"yes","yes"
"52",1905,"AL",-0.165600915366159,"yes","no",0.119705501625472,"no","yes"
"54",1906,"AL",-0.147740784380691,"yes","yes",0.123124466605186,"no","no"
"56",1907,"AL",-0.149059901399679,"no","yes",0.106276767696293,"no","yes"
"58",1908,"AL",-0.143289871666318,"no","yes",0.0899504656710896,"no","no"
"60",1909,"AL",-0.148484292804703,"no","yes",0.0993288578846828,"no","yes"
"62",1910,"AL",-0.160535429115616,"no","no",0.108647912397586,"yes","yes"
"64",1911,"AL",-0.160139695891324,"no","no",0.18533385432549,"yes","no"
"66",1912,"AL",-0.157992191268642,"no","no",0.170165285477365,"yes","yes"
"67",1913,"AL",-0.149261833611701,"no","no",0.143591657525856,"yes","no"
"69",1914,"AL",-0.151306272844781,"no","yes",0.124842996381737,"yes","yes"
"72",1915,"AL",-0.155002616376382,"no","yes",0.127792956097576,"no","yes"
"76",1916,"AL",-0.140674747561219,"no","no",0.113940863697942,"no","no"
"78",1917,"AL",-0.129046646785527,"no","no",0.103919712439225,"no","no"
"79",1918,"AL",-0.135170088094722,"no","no",0.118440726850703,"yes","no"
"82",1919,"AL",-0.130164144078468,"no","no",0.153512164364454,"yes","yes"
"83",1920,"AL",-0.131038915932616,"no","no",0.200512644229467,"yes","yes"
"85",1921,"AL",-0.133595318418194,"no","no",0.22739252821478,"yes","no"
"88",1922,"AL",-0.132840696125186,"no","yes",0.201975879471865,"yes","yes"
"90",1923,"AL",-0.123876040852911,"no","yes",0.198749287257726,"no","no"
"92",1924,"AL",-0.129900946277485,"no","no",0.201573351268935,"no","no"
"94",1925,"AL",-0.119439423495536,"no","no",0.212912332935144,"yes","no"
"96",1926,"AL",-0.123733679666618,"no","no",0.182063499649601,"yes","no"
"98",1927,"AL",-0.113436774642007,"no","yes",0.191050889321315,"no","no"
"100",1928,"AL",-0.112835155531741,"no","no",0.178176890361906,"no","no"
"102",1929,"AL",-0.114798307162144,"no","no",0.188357856386084,"no","yes"
"104",1930,"AL",-0.114575775478965,"no","no",0.201993590610362,"yes","yes"
"106",1931,"AL",-0.123538634113346,"no","yes",0.168668225773659,"yes","yes"
