V1,n.schools,match1,matchf,check
,0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20004>Louisiana State University</a> (Baton Rouge, Louisiana)",0,LSU,NA,1
"<a href=../../../college/schools/profile.asp?T=20116>Cypress College</a> (Cypress, California)",0,NA,NA,3
"<a href=../../../college/schools/profile.asp?T=21319>Allegheny College</a> (Meadville, Pennsylvania)",0,NA,NA,3
"<a href=../../../college/schools/profile.asp?T=20541>Faulkner University</a> (Montgomery, Alabama)",0,NA,NA,3
"<a href=../../../college/schools/profile.asp?T=21732>SUNY-Cortland</a> (Cortland, New York)",0,NA,NA,3
"<a href=../../../college/schools/profile.asp?T=22321>Wayne State University</a> (Detroit, Michigan)",0,NA,NA,3
"<a href=../../../college/schools/profile.asp?T=20337>Rensselaer Polytechnic Institute</a> (Rochester, New York)",0,NA,NA,3
"<a href=../../../college/schools/profile.asp?T=20004>Louisiana State University</a> (Baton Rouge, Louisiana), <a href=../../../college/schools/profile.asp?T=20533>Delta State University</a> (Cleveland, Mississippi)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20105>Cal State Dominguez Hills</a> (Carson, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20308>St. Cloud State University</a> (St. Cloud, Minnesota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20477>University of Wisconsin-Stevens Point</a> (Stevens Point, Wisconsin)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20945>Des Moines Area Community College</a> (Des Moines, Iowa)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21832>Augustana College</a> (Sioux Falls, South Dakota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21247>Winona State University</a> (Winona, Minnesota)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20552>Franklin Pierce University</a> (Rindge, New Hampshire), <a href=../../../college/schools/profile.asp?T=21347>Bentley College</a> (Waltham, Massachusetts)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20423>Sonoma State University</a> (Rohnert Park, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20754>Palomar College</a> (San Marcos, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21755>University of Bridgeport</a> (Bridgeport, Connecticut)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20872>Menlo College</a> (Atherton, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21028>Hendrix College</a> (Conway, Arkansas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20713>Wingate University</a> (Wingate, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20096>Lewis-Clark State College</a> (Lewiston, Idaho), <a href=../../../college/schools/profile.asp?T=20244>Green River Community College</a> (Auburn, Washington)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20252>Yavapai College</a> (Prescott, Arizona)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20405>Colorado Mesa University</a> (Grand Junction, Colorado)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20402>Lenoir-Rhyne College</a> (Hickory, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21712>Spring Arbor University</a> (Spring Arbor, Michigan)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20978>Metropolitan State College of Denver</a> (Denver, Colorado)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20993>Concordia University</a> (Irvine, California), <a href=../../../college/schools/profile.asp?T=20302>Mount San Antonio College</a> (Walnut, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21329>Assumption College</a> (Worcester, Massachusetts)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20220>Marietta College</a> (Marietta, Ohio)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20552>Franklin Pierce University</a> (Rindge, New Hampshire)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20738>Amherst College</a> (Amherst, Massachusetts)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22046>Lake Erie College</a> (Painesville, Ohio)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20575>Limestone College</a> (Gaffney, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20768>College of the Canyons</a> (Valencia, California), <a href=../../../college/schools/profile.asp?T=20523>Chico State</a> (Chico, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20937>Delgado Community College</a> (New Orleans, Louisiana)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20626>St. Mary's University</a> (San Antonio, Texas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21209>Rowan University</a> (Glassboro, New Jersey)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21732>SUNY-Cortland</a> (Cortland, New York), <a href=../../../college/schools/profile.asp?T=20592>Mount Olive College</a> (Mount Olive, North Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20526>Concordia College</a> (Bronxville, New York), <a href=../../../college/schools/profile.asp?T=20535>Dominican College</a> (Orangeburg, New York)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21472>Haverford College</a> (Haverford, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20572>Kean University</a> (Union, New Jersey), <a href=../../../college/schools/profile.asp?T=20012>St. Petersburg College</a> (St. Petersburg, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20002>Mercyhurst College</a> (Erie, Pennsylvania)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20922>Francis Marion University</a> (Florence, South Carolina)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21277>Ouachita Baptist University</a> (Arkadelphia, Arkansas)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20347>University of Vermont</a> (Burlington, Vermont), <a href=../../../college/schools/profile.asp?T=20984>Tufts University</a> (Medford, Massachusetts)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20909>Barry University</a> (Miami Shores, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20347>University of Vermont</a> (Burlington, Vermont), <a href=../../../college/schools/profile.asp?T=20035>Crowder College</a> (Neosho, Missouri), <a href=../../../college/schools/profile.asp?T=22071>Lynn University</a> (Boca Raton, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20225>Otterbein College</a> (Westerville, Ohio)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20114>Cosumnes River College</a> (Sacramento, California)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20345>Hillsborough Community College</a> (Tampa, Florida)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22165>Principia College</a> (St. Louis, Missouri)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20252>Yavapai College</a> (Prescott, Arizona), <a href=../../../college/schools/profile.asp?T=21127>Bellevue University</a> (Bellevue, Nebraska)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20765>University of New Haven</a> (New Haven, Connecticut)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=21127>Bellevue University</a> (Bellevue, Nebraska)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20668>Walters State Community College</a> (Morristown, Tennessee)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=22186>Saint Anselm College</a> (Manchester, New Hampshire)",0,NA,NA,
"<a href=../../../college/schools/profile.asp?T=20971>Wilmington University</a> (Wilmington, Delaware)",0,NA,NA,
