"playerID","yearID","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","IBB","SO","SH","SF","HBP","GIDP"
"JBand1",2009,"Bourne Braves","Cape Cod League",3,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
"MGrass2",2009,"Falmouth Commodores","Cape Cod League",5,10,1,3,0,0,0,2,0,0,0,0,0,2,0,0,0
"MHolli3",2008,"Cotuit Kettleers","Cape Cod League",15,47,7,7,3,0,1,7,0,0,8,0,10,1,2,2,1
"DIngui4",2009,"Yarmouth-Dennis Red Sox","Cape Cod League",4,8,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0
"DIngui4",2010,"Danbury Westerners","New England Collegiate League",40,148,17,44,7,0,2,22,9,4,15,0,24,1,0,1,5
"BLaRos5",2009,"Bourne Braves","Cape Cod League",8,22,1,5,0,0,0,4,0,0,1,0,6,0,0,0,1
"SMcNee6",2008,"Falmouth Commodores","Cape Cod League",2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
"DFulk9",2010,"Carolina Stingers","Southern Collegiate League",9,26,0,3,0,0,0,2,0,0,1,0,2,0,0,0,2
"KWhitm10",2010,"Morganton Aggies","Southern Collegiate League",41,136,28,39,6,1,9,27,1,0,16,0,35,0,3,5,4
"JTaylo11",2010,"Carolina Chaos","Southern Collegiate League",7,14,1,2,1,0,0,3,1,0,2,0,5,0,1,2,0
"JTaylo11",2011,"Carolina Chaos","Southern Collegiate League",20,49,7,15,3,0,0,12,1,1,3,0,10,0,0,2,1
"JTaylo11",2012,"Carolina Chaos","Southern Collegiate League",9,22,4,4,3,0,0,4,0,0,4,0,4,0,0,0,0
"ZGoody12",2010,"Carolina Stingers","Southern Collegiate League",6,17,0,3,0,0,0,1,0,0,1,0,6,0,0,1,1
"ARiser13",2010,"Carolina Chaos","Southern Collegiate League",6,13,0,1,0,0,0,1,0,0,3,0,6,0,1,1,1
"WWatso14",2010,"Athletes in action","Alaska Summer League",46,164,18,52,2,1,0,11,9,1,13,0,15,1,1,9,4
"TWinda15",2010,"Athletes in action","Alaska Summer League",48,163,33,44,1,0,0,17,11,1,15,0,22,5,0,2,3
"AParne16",2010,"Athletes in action","Alaska Summer League",43,149,31,42,11,2,3,23,13,1,11,0,25,4,5,7,1
"HPrice17",2010,"Athletes in action","Alaska Summer League",37,113,8,28,4,1,0,10,0,0,10,0,16,3,0,1,2
"CDibel18",2010,"Athletes in action","Alaska Summer League",22,49,2,9,1,0,0,3,1,0,6,0,17,0,0,0,1
"MYouts19",2010,"Carolina Stingers","Southern Collegiate League",10,17,1,3,0,0,0,2,0,0,2,0,6,1,0,0,0
"JDeboe20",2010,"Athletes in action","Alaska Summer League",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DHawes21",2010,"Athletes in action","Alaska Summer League",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBrown23",2010,"Wisconsin Rapids Rafters","Northwoods League",56,145,21,32,4,1,0,3,16,3,20,0,29,4,0,5,2
"JAstor24",2010,"Waterloo Bucks","Northwoods League",55,173,28,50,12,2,2,17,1,1,38,0,22,4,1,7,3
"SFeine25",2010,"Outer Banks Daredevils","Coastal Plain League",54,199,18,50,13,0,4,21,10,4,16,0,61,6,1,5,2
"DAllbr26",2010,"Brainerd Lakes Area Lunkers","Northwoods League",54,207,16,47,6,0,2,24,1,1,12,0,39,7,0,3,4
"KDeese27",2010,"Asheboro Copperheads","Coastal Plain League",52,205,23,50,9,0,8,33,1,0,13,0,44,1,1,2,3
"MWilli28",2010,"Wilmington Sharks","Coastal Plain League",52,176,21,45,6,0,1,12,11,2,22,0,51,3,0,0,1
"JBenke29",2010,"St. Cloud River Bats","Northwoods League",52,148,29,35,13,0,4,28,4,2,25,0,25,2,1,2,2
"NFadne30",2010,"Eau Claire Express","Northwoods League",52,200,47,61,5,2,2,20,13,6,24,0,16,4,0,0,3
"KMorri31",2010,"Wilson Tobs","Coastal Plain League",51,190,22,56,6,0,0,28,8,3,18,0,20,5,2,11,1
"KMorri31",2011,"Wilson Tobs","Coastal Plain League",51,189,34,60,3,2,0,18,10,1,29,0,25,3,0,6,2
"BArias32",2010,"Columbia Blowfish","Coastal Plain League",50,189,33,50,10,1,3,30,45,11,17,0,42,0,4,12,2
"ESanto33",2010,"Florence RedWolves","Coastal Plain League",50,188,33,53,8,0,7,37,4,2,23,0,32,0,3,4,1
"ESanto33",2011,"Morehead City Marlins","Coastal Plain League",10,25,4,4,0,0,0,4,0,0,5,0,6,1,2,1,0
"CPack34",2010,"Martinsville Mustangs","Coastal Plain League",49,155,18,31,5,0,4,23,2,1,31,0,52,0,0,5,3
"PShuey35",2010,"Morehead City Marlins","Coastal Plain League",49,175,16,45,7,0,3,24,4,0,12,0,39,5,1,1,1
"CVia36",2010,"Gastonia Grizzlies","Coastal Plain League",49,165,23,43,4,0,0,10,13,4,26,0,42,5,0,7,3
"DJones37",2010,"Columbia Blowfish","Coastal Plain League",47,136,18,29,2,0,1,8,25,4,25,0,42,5,0,1,1
"SWei-T38",2010,"Anchorage Bucs","Alaska Summer League",46,151,15,41,5,1,0,6,4,0,15,0,19,0,0,1,0
"NArana39",2010,"Wilson Tobs","Coastal Plain League",46,163,25,48,8,2,0,25,16,5,19,0,29,4,5,2,1
"RDaugh40",2010,"Wilson Tobs","Coastal Plain League",46,167,22,47,10,1,7,33,8,4,12,0,40,3,1,4,1
"RDaugh40",2011,"Wilson Tobs","Coastal Plain League",31,110,19,40,7,0,4,17,7,0,4,0,24,0,1,6,1
"DMarks41",2010,"St. Cloud River Bats","Northwoods League",46,156,18,41,7,1,2,22,1,0,10,0,17,1,3,2,3
"NFrede42",2010,"Moses Lake Pirates","West Coast League",46,187,26,59,8,1,2,32,12,4,13,0,24,1,3,1,5
"ZGagno43",2010,"Kitsap Bluejackets","West Coast League",46,178,33,49,10,1,0,27,14,4,19,0,33,2,2,6,5
"BSchwa44",2010,"Matsu Miners","Alaska Summer League",45,157,34,66,10,1,0,13,6,0,16,0,14,0,2,9,0
"BSchwa44",2011,"Sedalia Bombers","MINK League",37,150,29,40,6,3,0,10,8,2,18,0,14,2,1,2,3
"WThorp45",2010,"Thunder Bay Border Cats","Northwoods League",45,140,21,34,6,0,0,10,2,0,10,0,17,5,0,15,5
"WThorp45",2011,"Thunder Bay Border Cats","Northwoods League",3,11,2,1,1,0,0,0,0,0,1,0,2,0,0,1,0
"SRoger46",2010,"Front Royal Cardinals","Valley League",45,121,12,24,1,1,0,9,7,1,10,0,39,1,0,0,2
"TBridg47",2010,"Wenatchee Apple Sox","West Coast League",45,179,35,46,9,1,0,9,7,2,13,0,22,10,1,6,5
"DDilla48",2010,"Corvallis Knights","West Coast League",45,160,25,37,3,1,5,25,13,3,11,0,32,2,2,9,3
"HHolne51",2010,"Petersburg Generals","Coastal Plain League",44,140,17,26,3,0,0,3,6,1,15,0,47,3,1,1,1
"RMccor52",2010,"Columbia Blowfish","Coastal Plain League",44,113,16,30,4,0,0,15,15,8,23,0,14,5,1,6,0
"RWeave53",2010,"Martinsville Mustangs","Coastal Plain League",44,131,17,33,6,1,1,17,17,4,12,0,46,4,3,2,0
"ESchul54",2010,"Battle Creek Bombers","Northwoods League",44,150,15,34,5,2,1,9,4,5,16,0,24,2,1,2,6
