level,playerid,year,teamName,LeagueName,lastname,firstname,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,place,colleges,draft_Year,draft_Round,draft_overall,draft_teamabbr,status,teamname,CurrentTeam,X,check
1,PTaylo8,2009,Hyannis Mets,Cape Cod League,Taylor,Patrick,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0.5,0.667,1.167,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,PTaylo8,2019,Brookhaven Bucks,Sun Belt League,Taylor,Patrick,29,103,21,26,5,0,1,12,6,2,9,0,21,2,1,9,2,0.252,0.33,0.361,0.691,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,CAllen107,2010,Asheville Redbirds,Southern Collegiate League,Allen,Chris,38,113,15,31,1,0,0,9,6,2,15,0,14,0,0,3,3,0.274,0.283,0.374,0.657,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,CAllen107,2015,Derby Twins,Jayhawk League,Allen,Chris,18,56,9,11,2,0,0,5,0,1,7,0,19,0,0,6,0,0.196,0.232,0.348,0.58,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,TFishe141,2010,AC Nitros,New York Collegiate,Fisher,Tyler,36,142,30,52,15,0,5,25,4,2,16,0,19,3,0,4,0,0.366,0.577,0,0.577,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,TFishe141,2017,SoCal Catch,California Collegiate League,Fisher,Tyler,27,71,6,17,5,0,1,6,0,0,14,0,24,0,1,2,2,0.239,0.352,0.375,0.727,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JDiaz204,2010,North Jersey Eagles,Atlantic Collegiate,Diaz,Jose,32,115,10,17,2,0,0,6,4,0,6,0,27,0,0,1,0,0.148,0.165,0,0.165,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JDiaz204,2019,Victoria Generals,Texas Collegiate League,Diaz,Jose,22,68,12,16,3,0,0,8,19,1,9,0,17,0,0,4,0,0.235,0.279,0,0.279,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AJacks226,2010,DeLand Suns,Florida Collegiate League,Jackson,Austin,31,105,8,22,1,0,0,6,2,2,9,0,29,1,0,1,2,0.21,0.219,0.278,0.497,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AJacks226,2011,DeLand Suns,Florida Collegiate League,Jackson,Austin,23,66,8,10,1,0,0,2,2,0,10,0,21,0,0,0,3,0.152,0.167,0.263,0.43,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AJacks226,2012,DeLand Suns,Florida Collegiate League,Jackson,Austin,15,29,2,8,0,0,0,4,1,0,4,0,9,0,0,1,0,0.276,0.276,0.382,0.658,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
